"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","23","Semillas, oleaginosas, mandíoca y forraje","2311","Semillas, oleaginosas, mandíoca y forraje","231113","Otros productos del cápitulo 12",432.87,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Italia, Portugal",NA
2021,"E","Agroalimentario","23","Semillas, oleaginosas, mandíoca y forraje","2311","Semillas, oleaginosas, mandíoca y forraje","231114","Forrajes",438.72,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Emiratos Árabes Unidos, Arabia Saudí, China",NA
2021,"E","Agroalimentario","23","Semillas, oleaginosas, mandíoca y forraje","2311","Semillas, oleaginosas, mandíoca y forraje","231115","Mandioca",50.41,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Emiratos Árabes Unidos, Arabia Saudí",NA,"Francia, Alemania, Reino Unido",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241111","Café",307.57,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Portugal, Suiza, Francia",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241112","Extractos de café",396.7,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Reino Unido, Francia, Alemania",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241113","Sucedaneos de café",6.75,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Francia, Portugal, Túnez",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241114","Té",54.12,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Alemania",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241115","Cacao",245.03,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Estados Unidos, Italia, Francia",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241116","Azucar",111.81,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Francia, Portugal, Reino Unido",NA
2021,"E","Agroalimentario","24","Café, té, cacao y azucar","2411","Café, té, cacao y azucar","241117","Melazas",9.34,"Portugal, Francia, Reino Unido",NA,"Portugal, Francia, Reino Unido",NA,"Francia, Italia, Alemania",NA
2021,"E","Agroalimentario","25","Industrias agroalimentarias","2511","Industrias agroalimentarias","251111","Miel",109.36,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA,"Francia, Alemania, Arabia Saudí",NA
2021,"E","Agroalimentario","25","Industrias agroalimentarias","2511","Industrias agroalimentarias","251112","Extractos y jugos y otros productos de origen a",12.29,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA,"Estados Unidos, Alemania, Italia",NA
2021,"E","Agroalimentario","25","Industrias agroalimentarias","2511","Industrias agroalimentarias","251113","Levaduras",39.29,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Chile",NA
2021,"E","Agroalimentario","25","Industrias agroalimentarias","2511","Industrias agroalimentarias","251114","Otras preparaciones alimenticias",841.74,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA,"Francia, Portugal, Estados Unidos",NA
